Date,H/A,Opponent,Attendance
18/8/2019,H,RB Leipzig,"22,467"
24/8/2019,A,FC Augsburg,"27,703"
31/8/2019,H,Borussia Dortmund,"22,467"
14/9/2019,H,Werder Bremen,"22,012"
21/9/2019,A,Bayer 04 Leverkusen,"27,430"
27/9/2019,H,Eintracht Frankfurt,"22,012"
6/10/2019,A,VfL Wolfsburg,"27,012"
19/10/2019,H,SC Freiburg,"22,012"
26/10/2019,A,Bayern Munich,"75,000"
2/11/2019,H,Hertha Berlin,"22,012"
9/11/2019,A,Mainz 05,"24,349"
23/11/2019,H,Borussia Mönchengladbach,"22,012"
29/11/2019,A,FC Schalke 04,"61,837"
8/12/2019,H,1. FC Köln,"22,012"
14/12/2019,A,SC Paderborn 07,"14,414"
17/12/2019,H,1899 Hoffenheim,"20,350"
22/12/2019,A,Fortuna Düsseldorf,"45,490"
18/1/2020,A,RB Leipzig,"42,146"
25/1/2020,H,FC Augsburg,"22,012"
1/2/2020,A,Borussia Dortmund,"81,365"
8/2/2020,A,Werder Bremen,"42,100"
15/2/2020,H,Bayer 04 Leverkusen,"22,012"
24/2/2020,A,Eintracht Frankfurt,"47,000"
1/3/2020,H,VfL Wolfsburg,"22,012"
7/3/2020,A,SC Freiburg,"24,000"
17/5/2020,H,Bayern Munich,n/a
22/5/2020,A,Hertha Berlin,n/a
27/5/2020,H,Mainz 05,n/a
31/5/2020,A,Borussia Mönchengladbach,n/a
7/6/2020,H,FC Schalke 04,n/a
13/6/2020,A,1. FC Köln,n/a
16/6/2020,H,SC Paderborn 07,n/a
20/6/2020,A,1899 Hoffenheim,n/a
27/6/2020,H,Fortuna Düsseldorf,n/a
