"Date","Opponent","Attendance"
"10/8/2019","Sheffield United","10714"
"25/8/2019","Manchester City","10486"
"28/8/2019","Forest Green Rovers","9657"
"15/9/2019","Everton","10416"
"28/9/2019","West Ham United","10729"
"19/10/2019","Norwich City","10669"
"2/11/2019","Manchester United","10669"
"23/11/2019","Wolverhampton Wanderers","10539"
"7/12/2019","Liverpool","10832"
"21/12/2019","Burnley","10020"
"26/12/2019","Arsenal","10234"
"4/1/2020","Luton Town","10064"
"12/1/2020","Watford","10384"
"21/1/2020","Brighton & Hove Albion","10065"
"27/1/2020","Arsenal","10308"
"1/2/2020","Aston Villa","10722"
"29/2/2020","Chelsea","10667"
"20/6/2020","Crystal Palace",""
"1/7/2020","Newcastle United",""
"9/7/2020","Tottenham Hotspur",""
"12/7/2020","Leicester City",""
